score,Species,Country of Origin,Altitude (m),Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture (%),Color,altitude_group
85.75,Arabica,Peru,,,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,Green,
85.75,Arabica,Papua New Guinea,350.5,,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,Bluish-Green,Low
85.58,Arabica,El Salvador,1500.0,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,Blue-Green,Medium
85.58,Arabica,El Salvador,1350.0,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,,Medium
85.58,Arabica,United States (Hawaii),,Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,,
85.5,Arabica,Panama,1680.0,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.50,0.09,,High
85.5,Arabica,Kenya,1900.0,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.50,0.1,Green,High
85.5,Arabica,Ethiopia,1900.0,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.50,0.12,Green,High
85.5,Arabica,Uganda,1600.0,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.50,0.12,Green,Medium
85.5,Arabica,Guatemala,5680.0,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.50,0.11,Green,
85.42,Arabica,Ethiopia,1900.0,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,Green,High
85.42,Arabica,Uganda,1950.0,SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,Green,High
85.42,Arabica,United States (Hawaii),,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,,
85.42,Arabica,Brazil,1250.0,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,Blue-Green,Medium
85.42,Arabica,El Salvador,1400.0,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,,Medium
85.33,Arabica,China,1700.0,Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,Green,High
85.33,Arabica,Guatemala,1770.0,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,Green,High
85.33,Arabica,Costa Rica,1300.0,Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,Bluish-Green,Medium
85.33,Arabica,Costa Rica,1300.0,Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,Bluish-Green,Medium
85.33,Arabica,Kenya,1600.0,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,Green,Medium
85.33,Arabica,Kenya,1200.0,SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,Green,Low
85.33,Arabica,Ethiopia,,,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,,
85.33,Arabica,Ethiopia,,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,,
85.25,Arabica,Guatemala,,Bourbon,,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,Green,
85.25,Arabica,Colombia,1550.0,Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,Green,Medium
85.25,Arabica,Colombia,1550.0,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,Green,Medium
85.17,Arabica,Indonesia,1325.0,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,Green,Medium
85.17,Arabica,Guatemala,1400.0,Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,,Medium
85.08,Arabica,Ethiopia,,Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,Green,
85.08,Arabica,Colombia,2560.0,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,,Very High
85.08,Arabica,Ethiopia,1700.0,,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,Green,High
85.08,Arabica,United States (Hawaii),,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,Bluish-Green,
85.08,Arabica,Colombia,2136.0,Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,Green,Very High
85.08,Arabica,United States (Hawaii),,,,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.01,,
85.08,Arabica,Ethiopia,,,,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.0,,
85.08,Arabica,United States (Hawaii),,,,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,0.0,,
85.0,Arabica,Uganda,1800.0,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.00,0.11,Green,High
85.0,Arabica,Colombia,,Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.00,0.0,Green,
85.0,Arabica,Costa Rica,1900.0,Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.00,0.12,Green,High
85.0,Arabica,Mexico,1300.0,Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.00,0.09,Green,Medium
85.0,Arabica,Kenya,1000.0,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.00,0.11,Green,Low
85.0,Arabica,Kenya,1580.0,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.00,0.0,Green,Medium
85.0,Arabica,Brazil,1100.0,Mundo Novo,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.00,0.12,Green,Low
85.0,Arabica,Mexico,1400.0,Pacamara,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.00,0.0,,Medium
85.0,Arabica,United States (Hawaii),,,,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.00,0.0,,
85.0,Arabica,Guatemala,4350.0,,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.00,0.04,,
84.92,Arabica,Colombia,,Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92,0.0,,
84.92,Arabica,Colombia,1775.0,Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,Green,High
84.92,Arabica,Taiwan,800.0,Typica,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,Green,Low
84.92,Arabica,"Tanzania, United Republic Of",1620.0,Other,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,Green,High
84.92,Arabica,Colombia,1775.0,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,Green,High
84.92,Arabica,Mexico,1200.0,Typica,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,,Low
84.92,Arabica,Brazil,1200.0,Bourbon,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,Green,Low
84.92,Arabica,Brazil,1000.0,Catuai,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,Green,Low
84.92,Arabica,Kenya,,,,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,0.06,,
84.83,Arabica,Taiwan,350.0,Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,0.0,Green,Low
84.83,Arabica,Uganda,1650.0,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,Green,High
84.83,Arabica,United States (Hawaii),,Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83,0.0,,
84.83,Arabica,Ethiopia,1750.0,,,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0.1,,High
84.83,Arabica,Ethiopia,1750.0,,,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0.1,,High
84.75,Arabica,Thailand,,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,0.12,Green,
84.75,Arabica,Kenya,1800.0,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,Green,High
84.75,Arabica,Honduras,1450.0,Catuai,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,Green,Medium
84.75,Arabica,El Salvador,1200.0,,,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75,0.15,,Low
84.75,Arabica,Nicaragua,925.0,,,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75,0.18,,Low
84.67,Arabica,El Salvador,1350.0,Bourbon,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,0.0,Blue-Green,Medium
84.67,Arabica,Indonesia,1200.0,Java,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,Green,Low
84.67,Arabica,Japan,170.0,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,Green,Low
84.67,Arabica,Costa Rica,1150.0,Catuai,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,Blue-Green,Low
84.67,Arabica,Guatemala,1600.0,Bourbon,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,Green,Medium
84.67,Arabica,Costa Rica,1750.0,Caturra,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0.12,Green,High
84.67,Arabica,Ethiopia,1900.0,Ethiopian Yirgacheffe,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67,0.1,,High
84.67,Arabica,Costa Rica,1750.0,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,0.08,Green,High
84.67,Arabica,Costa Rica,1200.0,Catuai,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67,0.11,Green,Low
84.67,Arabica,Costa Rica,,,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67,0.0,Green,
84.67,Arabica,Taiwan,1000.0,Typica,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,0.11,Green,Low
84.67,Arabica,Colombia,1550.0,Caturra,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,0.0,Green,Medium
84.67,Arabica,Kenya,2000.0,SL28,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67,0.11,Bluish-Green,High
84.67,Arabica,Guatemala,4300.0,Bourbon,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,0.11,Green,
84.67,Arabica,Guatemala,5000.0,Bourbon,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67,0.12,Green,
84.67,Arabica,Mexico,1200.0,Typica,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.13,,Low
84.67,Arabica,Uganda,1775.0,Other,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67,0.11,Blue-Green,High
84.67,Arabica,Peru,,,,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.0,,
84.67,Arabica,Ethiopia,1750.0,,,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,84.67,0.2,,High
84.58,Arabica,Kenya,1754.0,SL34,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58,0.11,Blue-Green,High
84.58,Arabica,Colombia,1500.0,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,0.0,Blue-Green,Medium
84.58,Arabica,Colombia,,Caturra,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.0,Green,
84.58,Arabica,Kenya,1800.0,Peaberry,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,0.1,Bluish-Green,High
84.58,Arabica,Guatemala,5000.0,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,Green,
84.58,Arabica,Guatemala,4000.0,Bourbon,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,Green,
84.58,Arabica,Colombia,1550.0,Caturra,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58,0.0,,Medium
84.58,Arabica,Colombia,1750.0,Caturra,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58,0.0,,High
84.58,Arabica,Kenya,,SL28,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58,0.0,Green,
84.58,Arabica,Colombia,1750.0,Caturra,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,0.0,Green,High
84.58,Arabica,Costa Rica,1575.0,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,Bluish-Green,Medium
84.58,Arabica,Colombia,1800.0,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,0.11,Green,High
84.58,Arabica,Brazil,1300.0,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,Green,Medium
84.58,Arabica,Brazil,1100.0,Catuai,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,Blue-Green,Low
84.5,Arabica,Costa Rica,1200.0,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.50,0.1,Bluish-Green,Low
84.5,Arabica,Uganda,1750.0,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.50,0.11,Green,High
84.5,Arabica,China,1680.0,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.50,0.1,Green,High
84.5,Arabica,Costa Rica,1700.0,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.50,0.11,Green,High
84.5,Arabica,Colombia,1800.0,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.50,0.12,Green,High
84.5,Arabica,China,1100.0,Other,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.50,0.0,Green,Low
